Genes	B	cancer	CD4	CD8	M0	M1	M2	Mono	Neu	NK
LGALSL	0.661909632456474	13.1124823738325	1.03003594240489	0	28.6901431871202	7.20079022102594	2.06539391192688	2.82054118663928	26.8415021970721	0
LGR6	0.165477408114119	1.14484453213715	0	3.41982449460694	0	0	0	0	0	19.1202708617375
LHFPL2	11.0177130395322	14.9958556825076	0.269395988322059	0	11.8559818397589	10.741489493139	5.60354629766692	2.24033219645809	0.995066269820649	0
LILRA1	0.496432224342356	0.498820674796238	0	0	2.32711898355074	19.9243809441571	0.314643904907061	112.090761853044	77.5496442930246	0
LILRA2	0.860758831213457	1.46297516110219	0	0	187.502673043324	71.6620949418487	315.587836621782	121.257980133294	219.813350464247	0
LILRA6	0	2.37025490595441	0	0	2.85820295394836	4.91543900510073	1.6760657641276	10.3419843510107	8.10308286148504	0
LILRB2	0	4.56827167816222	0	0	3.83757283465423	40.5392584516359	0.16760657641276	125.73864452621	120.21351091059	0
LILRB3	1.09522907263669	3.13545607457139	0.45349516504085	1.13994149820231	151.084408791047	91.5277073927637	83.7029728213996	161.397634568803	799.759882826721	0.496252302610684
LIM2	0	0	0	1.13994149820231	0	0	0	0	0	33.0752905743987
LIMD1	53.7357087388547	9.28722938070599	27.237622045787	33.6782478768329	40.6021512183944	32.7600425370686	27.6675098447304	34.4451075205431	0.0712218043559825	42.3013562010323
LIN7A	0	1.78314550273173	0	0	0.671312822712661	0.814493554423808	0	6.26786930364285	40.5338169122783	0
LINGO1	0	3.07582110105647	0	0	7.12495977137462	0.689637987315452	36.0728292912308	0	0	0
LINGO2	0	0.0411178720376956	0	0	0	0	0	0	0	13.6614955330199
LMNA	135.525997245463	308.946339308848	8.31568553944666	10.2594734838208	58.7532652334218	58.1593153918832	82.7632846136415	12.10265902538	0	5.01277345818481
LMO2	2.66639291699386	11.950299619455	0.0859188314489042	0	170.079999385782	61.9550582378456	196.337796662006	146.29978998327	48.1783054449788	0
LONRF3	0	1.63207478875973	7.3604040862122	1.64284135984551	16.9248771251125	10.5918874197957	20.1372099140519	3.76072158218571	1.37164881142225	2.81533131728857
LPAR3	0	0.657461429082964	3.74798623452215	30.1001686396376	5.31200383781151	4.50590776509199	1.40088657441673	0	0	0.992504605221368
LPCAT2	1.09522907263669	11.0443628655252	0.423954620162393	0	58.4911495187034	76.6528184380859	28.6325953465425	54.4621780754903	107.69676303088	0
LPL	0	4.26051398759637	0	0	105.274636356922	67.7089885579075	113.121590884151	0	0	0
LRFN2	0	0.0354322376876219	0.268770331522651	1.96733128363645	0	0	0	0	0	9.97529648429165
LRFN4	7.25545434448671	12.5126748373615	1.20351284275623	12.5393564802254	100.185493728448	81.8256206549889	118.465093662663	13.9321850890789	0	3.84838154710382
LRG1	0	11.3173721233405	0	0	1.83468580948181	3.43447696444671	6.07050848913916	36.1253566678867	618.295877024912	0
LRIG1	2.04059653438689	29.6718451996892	12.5526194655805	18.0712549583006	0.384107181267861	0	0.295056273132412	0.626786930364285	0.629083932096187	3.97001842088547
LRP1	1.09522907263669	80.0989986769868	2.11240365443306	1.64284135984551	97.3363513266466	59.7883025007309	102.532054913513	140.60442103015	0.0712218043559825	0
LRP3	0	24.9828529584734	0	0	43.7242066105457	27.5765291547283	25.6438061911523	36.413665573729	3.88485151877156	0
LRRC25	9.97624972366922	3.80378825075675	0	0	206.346833565225	234.898240178927	14.6589678388063	580.927633218239	936.082367384768	2.77478569269469
LRRC4	0.496432224342356	1.116152379227	0.0866521992154856	0.821420679922754	0.43720892815608	0.25117731832646	15.4904543394516	13.1619516541913	189.294116301364	0.496252302610684
