Samples	CBSX__scRNA-Seq_melanoma_Tirosh_sigmatrix_SuppFig_3-b__Malignant	CBSX__scRNA-Seq_melanoma_Tirosh_sigmatrix_SuppFig_3-b__Endothelial_cells	CBSX__scRNA-Seq_melanoma_Tirosh_sigmatrix_SuppFig_3-b__CAF	CBSX__scRNA-Seq_melanoma_Tirosh_sigmatrix_SuppFig_3-b__T_cells_CD8	CBSX__scRNA-Seq_melanoma_Tirosh_sigmatrix_SuppFig_3-b__NK_cells	CBSX__scRNA-Seq_melanoma_Tirosh_sigmatrix_SuppFig_3-b__Macrophages	CBSX__scRNA-Seq_melanoma_Tirosh_sigmatrix_SuppFig_3-b__T_cells_CD4	CBSX__scRNA-Seq_melanoma_Tirosh_sigmatrix_SuppFig_3-b__B_cells
TCGA-XF-AAN1-01A	0.01826009443339968	0.08883307622202513	0.7111440242379744	0	0	0.15509204037882687	0.026670764727774	0
TCGA-DK-AA6P-01A	0.2493863184728951	0	0.6245032902974254	0	0	0.12611039122967935	0	0
TCGA-CF-A47Y-01A	0.00972252436150974	0.15739584663742587	0.564971882922447	0	0	0.16278013428138705	0.10512961179723028	0
TCGA-CF-A3MI-01A	0.02957267428444729	0.23037233030510457	0.5407348881554558	0	0	0.1771628955490141	0.0221572117059783	0
TCGA-G2-A2EL-01A	0.02431924778476219	2.4947273736228e-4	0.8972980012976539	0	0.01694464587277185	0.06118863230744982	0	0
TCGA-XF-AAMZ-01A	0.0013945331904899	0.03789251841713008	0.5775444631325516	0	0	0.2048561401522269	0.13940974169594528	0.03890260341165626
TCGA-DK-AA6L-01A	0.06019493506999099	0.00247691492659225	0.5435425673137053	0	0	0.38958192410908155	0.00420365858063012	0
TCGA-XF-A9T4-01A	0.04337950515373795	0.04733306977082538	0.8166444384621797	0.01219606910605305	0	0.0804469175072039	0	0
TCGA-K4-A6MB-01A	0.02177420241022103	0.0089601767544533	0.8542564798571753	0.0116009018858274	0	0.10340823909232298	0	0
TCGA-UY-A8OB-01A	0	0.00520186853552763	0.7528302743075372	0.04882835375832612	0	0.1926449130572871	0	4.9459034132195e-4
TCGA-DK-A1A5-01A	0	0.00651410013672558	0.8343148049826113	0.04516879864586201	0	0.11400229623480104	0	0
TCGA-2F-A9KQ-01A	0.0028362194032034	0.0140028038345352	0.8319650746579965	0	0	0.08800322612434887	0.06315182229258992	4.085368732614e-5
TCGA-SY-A9G0-01A	0.00279041439358077	0.08005861956372988	0.8202395200647198	0.00546251174615137	0	0.05718673742397849	0.01364440375282044	0.02061779305501935
TCGA-GV-A40G-01A	0.23845104210224147	0	0.6906952806458271	0	0	0.07085367725193145	0	0
TCGA-FD-A5BX-01A	0.01373712169454467	0.04052069619492701	0.7279566394153906	0.0184117323900958	0	0.1993738103050419	0	0
TCGA-BL-A13J-01A	0.00214198502448164	0.00688788518551455	0.8146461599420133	0	0	0.1501354019148615	0.02616716867215349	2.139926097559e-5
