Samples	CBSX__CD226__B	CBSX__CD226__CD4	CBSX__CD226__CD8CD226negNoAct	CBSX__CD226__CD8CD226negPostAct	CBSX__CD226__CD8CD226plusNoAct	CBSX__CD226__CD8CD226plusPostAct	CBSX__CD226__M1	CBSX__CD226__M2	CBSX__CD226__Mono	CBSX__CD226__Neu	CBSX__CD226__NK
SimData1063	0.23831035300580083	0.35107950213203987	0	0	0.02945398567493495	0.02867286163807703	0.09565573526887432	0.05626288629147467	0.11457593884000876	0.05878474389647719	0.02720399325231261
SimData1064	0.24131124670071696	0.36735984383981635	0	0	0.02873444784553096	0.03199484669455679	0.08343847534536439	0.06975603379822125	0.11807135576102464	0.02772772645220235	0.03160602356256637
SimData1065	0.2386779348153552	0.36275589203571906	0	0	0.02943297172599455	0.034191472244732	0.0883147294978064	0.07150534012029112	0.11714124326894391	0.02664022410932839	0.03134019218182934
SimData1066	0.23666710988122688	0.36091716793417233	0	0	0.03031268004629182	0.03669126986923012	0.09211968264973132	0.07222265255260005	0.11470767783935794	0.02529973253490488	0.03106202669248448
SimData1067	0.23630736898977897	0.3622722820955207	0	0	0.0309134801338649	0.0364373628759133	0.09103238042205132	0.07064624136281922	0.11456122247405982	0.02650646317233309	0.0313231984736588
SimData1068	0.26360619828955023	0.3981157254771515	0	0	0.02584440758953081	0.03912091096943255	0.0744850070265322	0.03163620352998093	0.11653500961763973	0.02022645968261301	0.03043007781756915
SimData1069	0.2675728286032669	0.40373370001512177	0	0	0.02192303316311342	0.04367674808938354	0.07964250647315771	0.02326112192020812	0.1143121517869962	0.0190720211615502	0.02680588878720228
SimData107	0.22883634738049607	0.3520968008754261	0	0	0.02306512613277278	0.0280780560163775	0.08217524891961635	0.08327119557021716	0.11581384893877196	0.05365035603896367	0.03301302012735857
SimData1070	0.2816919073070997	0.42642777006761934	0	0	0.01694117363999256	0.05057878804627012	0.07133503188436062	0.0237209137907007	0.11021316935372714	0	0.01909124591022989
SimData1071	0.21620896288032396	0.4981904518512512	0	0	0.02409671090091931	0.05500276012170495	0.08395073185937922	0.01793692609848233	0.08313840225794465	0	0.02147505402999436
SimData1072	0.19818244710715732	0.2940132885209115	8.5562062144198e-4	0	0.01772260349709058	0.01064443774660212	0.109999271143816	0.15660884628126917	0.10893719992838548	0.0641450908726019	0.03889119428072377
SimData1073	0.1921936283173678	0.2977567112099113	0	0	0.02333840263349732	0.01420737570694307	0.11192706863187028	0.16116485555107296	0.10696396257491964	0.0537731322134965	0.03867486316092089
SimData1074	0.19571316915145004	0.3001959503300245	0	0	0.02624882635065192	0.02199044717064537	0.11680287168959969	0.13021393012435167	0.11208043371505978	0.05755961977560639	0.03919475169261066
SimData1075	0.20308769477461755	0.3073949898235472	0	0	0.02330299217845342	0.03093524352257981	0.10850940728381243	0.12391193057146982	0.11162654015438138	0.0510640189164094	0.04016718277472908
SimData1076	0.19080842909815016	0.29463895568317927	0	0	0.02614739826816516	0.02497236249078369	0.12558311432303637	0.09707675376662026	0.12291948307138888	0.07893105334377958	0.03892244995489655
SimData1077	0.2112126781354354	0.3247694982217197	0	0	0.02806696794266826	0.02639874024771934	0.10025255523945724	0.1067605476262365	0.11431310037094436	0.05045524983766724	0.03777066237815189
SimData1078	0.22884011531217463	0.3465295032858345	0	0	0.02462012078373171	0.03595852858149806	0.10458543244654486	0.05643125389969454	0.1192478465616536	0.04834025883008954	0.0354469402987786
SimData1079	0.2087936802549485	0.3203930696785691	0	0	0.02749325113780296	0.02894501989281909	0.11312421608458992	0.06720085896548945	0.11696048375717308	0.07923505069964057	0.0378543695289674
SimData108	0.2379441743433817	0.34494426666397243	0	0	0.02843218933194931	0.02725566134020139	0.080546638052238	0.06884211881880077	0.11077869855193546	0.07481609754021004	0.0264401553573109
SimData1080	0.20882419662521048	0.3187757015604944	0	0	0.02765472962539668	0.03173240041999453	0.11613389219514862	0.06800998600030903	0.11563911293161926	0.07459839948781806	0.03863158115400894
SimData1081	0.22715325109314943	0.3437703411482756	0	0	0.024925981092355	0.03698232210237165	0.10750917169458175	0.06252828790174941	0.11935331433941958	0.04666026264288773	0.03111706798520982
SimData1082	0.20768642356060807	0.31725320675398666	0	0	0.02710344634155728	0.03505876287201975	0.11541367982420447	0.07018389081145922	0.11478272714301396	0.07454917965379029	0.03796868303936033
SimData1083	0.2071646904497985	0.3169586944308328	0	0	0.02652465022510037	0.03549424602044623	0.1149198459116432	0.07272909672865611	0.1142226076907437	0.07405089786870854	0.0379352706740704
SimData1084	0.2075013886789672	0.3175125233829393	0	0	0.02706064121934173	0.03625366062477012	0.11492767949600176	0.07006097807167101	0.1144238903893116	0.07430655408005672	0.0379526840569407
SimData1085	0.2443046545621856	0.3683633853438836	0	0	0.02118097764161873	0.03967119207621238	0.09663215755312346	0.03768843972674196	0.1201962891539307	0.04069809404401185	0.03126480989829192
SimData1086	0.26063852480373234	0.3935742496769548	0	0	0.01978035063693138	0.04554115299336699	0.08158191420908889	0.0294751813934745	0.11671995621668896	0.02652201904143823	0.02616665102832392
SimData1087	0.27583230569322537	0.41847759071606466	0	0	0.01653893308413773	0.05124175121478281	0.07269230180276329	0.02149286792934826	0.10763822176750716	0.01453040981796318	0.02155561797420751
SimData1088	0.21776949901271747	0.5014399646194585	0	0	0.02208903273514943	0.05464156579115927	0.08059121977297286	0.01790829889829382	0.08382260283557492	0	0.02173781633467361
SimData1089	0.22228404730749696	0.33812352741092677	0	0	0.02842193972368798	0.00820886505699685	0.08908238509433479	0.11472381568682842	0.09850605904697424	0.05756014000629613	0.04308922066645777
