Gene.Symbol	cell_type
EIF2AK4	B.cells
EIF2B2	Endothelial.cells
EIF2B3	Myocytes
EIF2B5	Endothelial.cells
EIF2D	Macrophages
EIF3J	B.cells
ELF1	T.cells.CD4
ELF3	Malignant.cells
ELK2AP	B.cells
ELL	B.cells
ELMO2	Dendritic.cells
ELN	Myocytes
ELOF1	Malignant.cells
ELOVL1	Endothelial.cells
ELOVL5	Mast.cells
ELOVL7	Endothelial.cells
ELTD1	Endothelial.cells
EMB	T.cells.CD8
EMCN	Endothelial.cells
EMG1	Malignant.cells
EML4	T.cells.CD4
EMP1	Endothelial.cells
EMR2	Mast.cells
ENDOD1	CAFs
ENG	Endothelial.cells
ENO2	CAFs
ENO3	Myocytes
ENPP2	Macrophages
ENPP3	Mast.cells
ENTPD4	T.cells.CD4
EOGT	Myocytes
EP300	Dendritic.cells
EPAS1	Endothelial.cells
EPB41	T.cells.CD4
EPB41L2	CAFs
EPB41L3	Macrophages
EPCAM	Malignant.cells
EPHA3	CAFs
EPM2AIP1	B.cells
EPS8	CAFs
EPS8L2	Malignant.cells
EPSTI1	Dendritic.cells
ERAP1	Dendritic.cells
ERAP2	T.cells.CD4
ERCC5	T.cells.CD4
ERG	Endothelial.cells
ERICH1	Dendritic.cells
ERLEC1	B.cells
ERLIN1	Malignant.cells
ERN1	B.cells
ERO1L	Malignant.cells
ERRFI1	CAFs
ERVK13.1	Dendritic.cells
ESAM	Endothelial.cells
ESRG	Malignant.cells
ESRP1	Malignant.cells
ETS1	T.cells.CD4
ETV3	Dendritic.cells
ETV5	Macrophages
ETV6	Dendritic.cells
EVA1C	Endothelial.cells
EVI2A	T.cells.CD4
EVI2B	T.cells.CD8
EVL	T.cells.CD8
EXOC3	Myocytes
EXOC7	Myocytes
EXOSC1	Macrophages
EXOSC4	Malignant.cells
EXOSC5	Malignant.cells
EXOSC6	T.cells.CD4
EXOSC7	Malignant.cells
EXTL3	Mast.cells
F13A1	Macrophages
F2R	Endothelial.cells
F2RL1	Malignant.cells
F2RL3	Endothelial.cells
F3	Malignant.cells
FAAH2	B.cells
FABP3	Myocytes
FABP4	Malignant.cells
FABP5	Malignant.cells
FADD	Malignant.cells
FADS1	Mast.cells
FADS2	Mast.cells
FAH	Malignant.cells
FAHD1	Malignant.cells
FAIM	Malignant.cells
FAIM3	T.cells.CD4
FAM102A	T.cells.CD8
FAM103A1	Myocytes
FAM104A	T.cells.CD8
FAM105A	Macrophages
FAM107A	Endothelial.cells
FAM107B	T.cells.CD4
FAM108B1	Endothelial.cells
FAM110A	Mast.cells
FAM110B	CAFs
FAM118A	Dendritic.cells
FAM129A	T.cells.CD8
FAM134B	Myocytes
FAM134C	T.cells.CD4
FAM136A	B.cells
FAM13A	Dendritic.cells
FAM13B	Myocytes
FAM13C	CAFs
FAM167B	Endothelial.cells
FAM173A	Macrophages
FAM174A	Myocytes
FAM174B	Myocytes
FAM178A	Macrophages
FAM188A	Mast.cells
FAM198B	Endothelial.cells
FAM206A	Malignant.cells
FAM207A	Endothelial.cells
FAM213A	Endothelial.cells
FAM214B	Endothelial.cells
FAM215A	B.cells
FAM21C	Macrophages
FAM222B	Myocytes
FAM26F	Macrophages
FAM3C	B.cells
FAM43A	Endothelial.cells
FAM46C	B.cells
FAM49A	Dendritic.cells
FAM53B	Mast.cells
FAM53C	Mast.cells
FAM60A	Dendritic.cells
FAM65B	T.cells.CD4
FAM69A	B.cells
FAM69B	Endothelial.cells
FAM73A	Myocytes
FAM83A	Malignant.cells
FAM96A	Dendritic.cells
FAM98A	Myocytes
FAP	CAFs
FARP2	Dendritic.cells
FARSB	Malignant.cells
FAS	T.cells.CD4
FBLN1	CAFs
FBLN2	CAFs
FBLN5	CAFs
FBP1	Macrophages
FBXL15	B.cells
FBXL5	Myocytes
FBXO10	Myocytes
FBXO18	B.cells
FBXO2	Malignant.cells
FBXO3	Malignant.cells
FBXO31	Endothelial.cells
FBXO32	Myocytes
FBXO34	T.cells.CD4
FBXW11	Myocytes
FBXW2	Dendritic.cells
FBXW7	B.cells
FBXW9	Malignant.cells
FCAR	Macrophages
FCER1A	Mast.cells
FCER1G	Macrophages
FCGR1A	Macrophages
FCGR1B	Macrophages
FCGR2A	Macrophages
FCGR2B	Macrophages
FCGR2C	Macrophages
FCGR3A	Macrophages
FCGRT	Macrophages
FCHSD2	B.cells
FCRL2	B.cells
FCRL3	T.cells.CD4
FCRL5	B.cells
FCRLA	B.cells
FDPSL2A	T.cells.CD8
FDX1	Mast.cells
FECH	Myocytes
FEM1C	Endothelial.cells
FEN1	Malignant.cells
FER	Mast.cells
FERMT2	Mast.cells
FERMT3	Macrophages
FES	Macrophages
FEZ1	CAFs
FGD2	Dendritic.cells
FGD3	T.cells.CD4
FGD5	Endothelial.cells
FGF13	Myocytes
FGF7	CAFs
FGFBP1	Malignant.cells
FGFR1	CAFs
FGL2	Macrophages
FGR	Macrophages
FHL1	Myocytes
FHL2	Myocytes
FHL3	Myocytes
FHL5	CAFs
FIBIN	CAFs
FILIP1	Endothelial.cells
FILIP1L	CAFs
FKBP10	Endothelial.cells
FKBP11	B.cells
FKBP15	Macrophages
FKBP8	B.cells
FKBP9	Endothelial.cells
FLAD1	Malignant.cells
FLI1	Endothelial.cells
FLJ21408	Mast.cells
FLJ34208	Macrophages
FLJ40292	B.cells
FLJ41200	Endothelial.cells
FLJ43663	T.cells.CD8
FLNC	Myocytes
FLT1	Endothelial.cells
FLT3	Dendritic.cells
FLT4	Endothelial.cells
FMNL3	Mast.cells
FMO2	CAFs
FMOD	CAFs
FN1	CAFs
FNBP1	T.cells.CD4
FNBP1L	Endothelial.cells
FNDC3A	B.cells
FOLR2	Macrophages
FOSL1	Endothelial.cells
FOXK2	B.cells
FOXP3	T.cells.CD4
FOXRED1	Endothelial.cells
FOXS1	CAFs
FPR1	Macrophages
FPR3	Macrophages
FRG1	Dendritic.cells
FRMD4B	Macrophages
FRMD6	CAFs
FRZB	CAFs
FSCN1	Dendritic.cells
FST	Myocytes
FSTL1	CAFs
FSTL3	CAFs
FTSJ2	Endothelial.cells
FUCA1	Myocytes
FUOM	Macrophages
FUT8	B.cells
FXYD1	Myocytes
FXYD3	Malignant.cells
FXYD6	CAFs
FYB	T.cells.CD4
FYCO1	Myocytes
FYN	T.cells.CD8
FZD4	Endothelial.cells
FZD6	Malignant.cells
G0S2	Macrophages
G3BP2	T.cells.CD8
GAB1	B.cells
GAB3	Macrophages
GABPB1	Mast.cells
GADD45A	B.cells
GAL	Malignant.cells
GALC	Mast.cells
GALE	Endothelial.cells
GALM	T.cells.CD8
GALNT15	Endothelial.cells
GALNT18	Endothelial.cells
GALNT3	Malignant.cells
GALNT6	Mast.cells
GALT	Mast.cells
GAMT	Myocytes
GARS	Malignant.cells
GART	Myocytes
GATA1	Mast.cells
GATA2	Mast.cells
GATA3	T.cells.CD8
GATAD2B	T.cells.CD8
GATM	Macrophages
GATSL3	Endothelial.cells
GBAS	Myocytes
GBE1	Myocytes
GBF1	B.cells
GBGT1	Mast.cells
GBP4	Dendritic.cells
GBP5	T.cells.CD8
GCC2	T.cells.CD8
GCDH	Malignant.cells
GCH1	Macrophages
GCHFR	T.cells.CD8
GCNT1	Macrophages
GCSAM	Dendritic.cells
GCSAML	Mast.cells
GCSH	Malignant.cells
GDPD1	T.cells.CD8
GEM	CAFs
GEMIN6	Malignant.cells
GEMIN7	B.cells
GFOD2	Endothelial.cells
GFPT1	B.cells
GFPT2	CAFs
GFRA2	Macrophages
GGA1	Endothelial.cells
GGA2	T.cells.CD8
GGCT	Malignant.cells
GGH	Malignant.cells
GGT5	CAFs
GGTA1P	Macrophages
GID8	B.cells
GIGYF2	Mast.cells
GIMAP1	Endothelial.cells
GIMAP4	Endothelial.cells
GIMAP5	Macrophages
GIMAP6	Endothelial.cells
GIMAP7	T.cells.CD8
GINM1	CAFs
GINS2	Malignant.cells
GIT2	Macrophages
GJA1	Endothelial.cells
GJA4	CAFs
GJB2	Malignant.cells
GJB3	Malignant.cells
GJB5	Malignant.cells
GJB6	Malignant.cells
GK	Macrophages
GLA	B.cells
GLCE	Endothelial.cells
GLDN	CAFs
GLIPR1	T.cells.CD4
GLIPR2	Dendritic.cells
GLS	Dendritic.cells
GLT8D2	CAFs
GM2A	Mast.cells
GMDS	B.cells
GMFG	T.cells.CD4
GMIP	Macrophages
GMNN	Malignant.cells
GMPPA	B.cells
GMPPB	B.cells
GMPR	Myocytes
GMPS	Malignant.cells
GNA14	Endothelial.cells
GNA15	Macrophages
GNAI1	Malignant.cells
GNB5	B.cells
GNG11	Endothelial.cells
GNG2	T.cells.CD8
GNG7	B.cells
GNL2	Mast.cells
GNLY	T.cells.CD8
GNPAT	Myocytes
GNPDA1	Macrophages
GNPTAB	Mast.cells
GOLGA1	Myocytes
GOLGA8A	T.cells.CD4
GOLGA8B	Myocytes
GOLPH3	T.cells.CD4
GPAT2	CAFs
GPC3	CAFs
GPC4	Myocytes
GPC5	Dendritic.cells
GPCPD1	T.cells.CD4
GPD1L	Mast.cells
GPN1	T.cells.CD4
GPN2	Malignant.cells
GPN3	Macrophages
GPNMB	Malignant.cells
GPR107	Macrophages
GPR116	Endothelial.cells
GPR132	Macrophages
GPR146	Endothelial.cells
GPR15	B.cells
GPR157	Dendritic.cells
GPR171	T.cells.CD8
GPR176	B.cells
GPR183	T.cells.CD4
GPR34	Macrophages
GPR56	Endothelial.cells
GPR65	Mast.cells
GPR82	T.cells.CD4
GPR84	Macrophages
GPR87	Malignant.cells
GPRC5A	Malignant.cells
GPRC5B	Myocytes
GPRC5C	CAFs
GPSM3	T.cells.CD4
GPX3	CAFs
GRAMD1A	Myocytes
GRAP	Endothelial.cells
GRAP2	Mast.cells
GRB7	Malignant.cells
GRHL1	Malignant.cells
GRINA	Macrophages
GRIPAP1	T.cells.CD8
GRN	Macrophages
GRSF1	Dendritic.cells
GRWD1	Myocytes
GSDMC	Malignant.cells
GSN	Dendritic.cells
GSPT1	T.cells.CD8
GSS	Malignant.cells
GSTA4	CAFs
GSTM2	B.cells
GSTM3	CAFs
GSTT1	CAFs
GTF2H1	Endothelial.cells
GTF2H2	Myocytes
GTF2IRD1	Myocytes
GTPBP1	Dendritic.cells
GUCY1A3	CAFs
GUCY1B3	CAFs
GUSBP11	Macrophages
GYG1	B.cells
GYPC	T.cells.CD4
GYS1	Myocytes
GZMA	T.cells.CD8
GZMB	T.cells.CD8
GZMH	T.cells.CD8
GZMK	T.cells.CD8
H19	Myocytes
H1FX	B.cells
H2AFX	B.cells
H2AFY	Macrophages
HAGH	Myocytes
HAPLN3	Dendritic.cells
HARS2	Endothelial.cells
HAS2	Malignant.cells
HAS3	Malignant.cells
HAUS1	Macrophages
HAUS3	T.cells.CD4
HAVCR2	Macrophages
HBEGF	Macrophages
HCAR2	Malignant.cells
HCAR3	Macrophages
HCFC2	Myocytes
HCK	Macrophages
HCLS1	Macrophages
HCST	T.cells.CD8
HDAC6	Dendritic.cells
HDC	Mast.cells
HDDC2	CAFs
HDGF	Myocytes
HEBP1	CAFs
HECTD1	Myocytes
HEIH	Macrophages
HEMK1	Dendritic.cells
HERC1	T.cells.CD8
HERC2P9	Endothelial.cells
HERC6	Malignant.cells
HERPUD2	T.cells.CD4
HES6	Myocytes
HEY1	Mast.cells
HEY2	CAFs
HEYL	CAFs
HGF	CAFs
HHEX	Endothelial.cells
HIBADH	Myocytes
HIBCH	Endothelial.cells
HID1	B.cells
HILPDA	Dendritic.cells
HIP1R	Endothelial.cells
HIPK2	Mast.cells
HIST1H1C	B.cells
HIST1H2BC	B.cells
HIST1H2BD	B.cells
HIST1H2BG	B.cells
HIST1H2BJ	B.cells
HIST1H2BK	Malignant.cells
HIST1H4C	T.cells.CD4
HIST1H4J	Dendritic.cells
HIST2H2AA3	B.cells
HIST2H2AA4	B.cells
HIVEP2	CAFs
HK3	Macrophages
HLA.DMA	Macrophages
HLA.DMB	Macrophages
HLA.DOA	Macrophages
HLA.DOB	B.cells
HLA.DPA1	Macrophages
HLA.DPB1	Macrophages
HLA.DQA1	Dendritic.cells
HLA.DQA2	Macrophages
HLA.DQB1	Macrophages
HLA.DQB2	Macrophages
HLA.DRA	Macrophages
HLA.DRB1	Macrophages
HLA.DRB5	Macrophages
HLA.DRB6	Macrophages
HLTF	Mast.cells
HMBOX1	Endothelial.cells
HMBS	Macrophages
HMG20A	Endothelial.cells
HMGB3	Malignant.cells
HMGCL	Mast.cells
HMGCS1	Dendritic.cells
HMHA1	T.cells.CD4
HMOX1	Macrophages
HMOX2	T.cells.CD8
HNMT	Macrophages
HNRPLL	T.cells.CD8
HOOK2	Malignant.cells
HOPX	T.cells.CD8
HPGD	Mast.cells
HPGDS	Mast.cells
HPS5	Macrophages
HRC	Myocytes
HRH2	CAFs
HRSP12	Dendritic.cells
HS2ST1	Mast.cells
HS6ST1	Mast.cells
HSBP1L1	Malignant.cells
HSD17B11	Mast.cells
HSD17B12	Mast.cells
HSD17B14	Macrophages
HSD17B8	B.cells
HSD3B7	Myocytes
HSDL2	Dendritic.cells
HSH2D	B.cells
HSPA12B	Endothelial.cells
HSPA13	B.cells
HSPA2	Malignant.cells
HSPA6	Malignant.cells
HSPA7	Malignant.cells
HSPB2	Myocytes
HSPB3	Myocytes
HSPB6	Myocytes
HSPB7	Myocytes
HSPB8	Myocytes
HSPBP1	Malignant.cells
HSPG2	Endothelial.cells
HTATIP2	T.cells.CD4
HTATSF1	Mast.cells
HTRA1	Endothelial.cells
HUS1	Dendritic.cells
HYAL1	Endothelial.cells
HYAL2	Endothelial.cells
HYAL3	Endothelial.cells
HYI	CAFs
HYOU1	B.cells
IAH1	CAFs
IAPP	T.cells.CD4
ICA1	Endothelial.cells
ICAM2	Endothelial.cells
ICAM3	T.cells.CD4
ICOS	T.cells.CD4
ID1	CAFs
ID2	Dendritic.cells
ID3	Endothelial.cells
IDH3A	Myocytes
IDNK	Mast.cells
IDO1	Dendritic.cells
IDO2	Dendritic.cells
IDUA	B.cells
IER3	CAFs
IFI27	Malignant.cells
IFI27L2	B.cells
IFI30	Macrophages
IFIH1	Mast.cells
IFIT1	Malignant.cells
IFIT2	Macrophages
IFIT3	CAFs
IFITM10	Myocytes
IFITM3	CAFs
IFNAR2	B.cells
IFNG	T.cells.CD8
IFNGR2	Dendritic.cells
IFNLR1	T.cells.CD4
IFT43	Dendritic.cells
IFT52	CAFs
IGF2	Myocytes
IGF2BP2	Dendritic.cells
IGFBP3	Malignant.cells
IGFBP4	CAFs
IGFBP5	CAFs
IGFBP6	Malignant.cells
IGFBP7	Endothelial.cells
IGFL1	Malignant.cells
IGFL2	Malignant.cells
IGFLR1	Dendritic.cells
IGJ	B.cells
IGLL1	B.cells
IGLL3P	B.cells
IGLL5	B.cells
IGSF6	Macrophages
IKZF1	T.cells.CD4
IKZF3	T.cells.CD4
IL10	T.cells.CD4
IL10RA	Dendritic.cells
IL12RB1	T.cells.CD4
IL13RA1	Dendritic.cells
IL15	Dendritic.cells
IL18BP	Macrophages
IL18R1	Mast.cells
IL1B	Macrophages
IL1R2	T.cells.CD4
IL1RL1	Mast.cells
IL1RN	Malignant.cells
IL20RB	Malignant.cells
IL21R	T.cells.CD8
IL27RA	T.cells.CD4
IL2RA	T.cells.CD4
IL2RB	T.cells.CD8
IL2RG	T.cells.CD4
IL32	T.cells.CD4
IL3RA	Endothelial.cells
IL4I1	Macrophages
IL4R	Mast.cells
IL6	Macrophages
IL6R	Dendritic.cells
IL7	Dendritic.cells
IL7R	T.cells.CD4
IL8	Macrophages
IL9R	Mast.cells
ILKAP	Mast.cells
IMMT	Myocytes
IMP3	Malignant.cells
IMPACT	Myocytes
IMPDH1	Dendritic.cells
IMPDH2	Myocytes
INE1	B.cells
ING3	Endothelial.cells
INGX	T.cells.CD4
INHBA	Malignant.cells
INMT	CAFs
INPP1	Endothelial.cells
INPP4B	T.cells.CD8
INPP5A	CAFs
INPP5D	T.cells.CD8
INPP5F	Myocytes
INPP5K	T.cells.CD4
INSIG1	Macrophages
INSIG2	B.cells
INSR	Endothelial.cells
INTS10	CAFs
INTS12	Endothelial.cells
INTS3	Endothelial.cells
IP6K1	CAFs
IP6K3	Myocytes
IPCEF1	T.cells.CD4
IPO11.LRRC70	Endothelial.cells
IPO5	Myocytes
IQCB1	Macrophages
IQCG	Malignant.cells
IRAK3	Mast.cells
IRAK4	B.cells
IRF2	Dendritic.cells
IRF3	B.cells
IRF4	Dendritic.cells
IRF5	Dendritic.cells
IRF6	Malignant.cells
IRF8	Dendritic.cells
ISCA2	Macrophages
ISG20	B.cells
ISLR	CAFs
ISYNA1	CAFs
ITFG2	CAFs
ITGA1	CAFs
ITGA10	Myocytes
ITGA2B	Mast.cells
ITGA4	Dendritic.cells
ITGA5	Endothelial.cells
ITGA6	Endothelial.cells
ITGA7	Myocytes
ITGAE	T.cells.CD8
ITGAL	T.cells.CD4
ITGAM	Macrophages
ITGAX	Macrophages
ITGB2	Macrophages
ITGB4	Malignant.cells
ITGB6	Malignant.cells
ITGB7	T.cells.CD8
ITGB8	Malignant.cells
ITIH3	CAFs
ITIH4	Myocytes
ITK	T.cells.CD8
ITM2A	T.cells.CD8
ITM2C	T.cells.CD8
ITPA	Malignant.cells
IWS1	Malignant.cells
JAG1	CAFs
JAGN1	Myocytes
JAK2	Dendritic.cells
JAK3	T.cells.CD4
JAM2	Endothelial.cells
JAM3	CAFs
JMJD7	Malignant.cells
JOSD1	T.cells.CD8
JOSD2	Myocytes
JSRP1	Myocytes
JUP	Malignant.cells
KANK2	CAFs
KANK3	Endothelial.cells
KANSL3	Mast.cells
KAT7	T.cells.CD4
KATNBL1	Mast.cells
KBTBD7	Malignant.cells
KCMF1	B.cells
KCNA3	B.cells
KCNAB1	CAFs
KCNAB2	T.cells.CD8
KCNE4	CAFs
KCNJ15	Malignant.cells
KCNMB1	CAFs
KCNN3	Myocytes
KCNN4	B.cells
KCNS3	Myocytes
KCTD20	T.cells.CD4
KCTD5	Macrophages
KDELR1	B.cells
KDELR3	B.cells
KDM2A	T.cells.CD4
KDM2B	Dendritic.cells
KDM3A	Endothelial.cells
KDM5A	T.cells.CD8
KDM5D	Endothelial.cells
KDR	Endothelial.cells
KEAP1	Myocytes
KIAA0020	Endothelial.cells
KIAA0040	CAFs
KIAA0101	Malignant.cells
KIAA0355	Endothelial.cells
KIAA0368	Myocytes
KIAA0922	T.cells.CD4
KIAA1217	Myocytes
KIAA1468	Dendritic.cells
KIAA1522	Mast.cells
KIAA1549	Mast.cells
KIAA1551	T.cells.CD8
KIAA1598	Dendritic.cells
KIAA1683	CAFs
KIAA1967	Myocytes
KIF1B	Myocytes
KIF22	Malignant.cells
KIF2A	Dendritic.cells
KIN	Mast.cells
KIR2DL4	T.cells.CD8
KIRREL	CAFs
KIT	Mast.cells
KLC3	Malignant.cells
KLF11	Endothelial.cells
KLF2	B.cells
KLF5	Malignant.cells
KLHDC2	T.cells.CD4
KLHL12	Macrophages
KLHL21	Myocytes
KLHL30	Myocytes
KLHL31	Myocytes
KLHL41	Myocytes
KLHL6	B.cells
KLHL7	Malignant.cells
KLK10	Malignant.cells
KLK11	Malignant.cells
KLK13	Malignant.cells
KLK5	Malignant.cells
KLK6	Malignant.cells
KLK7	Malignant.cells
KLK8	Malignant.cells
KLK9	Malignant.cells
KLRC2	T.cells.CD8
KLRC4	T.cells.CD8
KLRD1	T.cells.CD8
KLRG1	Mast.cells
KLRK1	T.cells.CD8
KNSTRN	Malignant.cells
KPNA1	T.cells.CD8
KRBOX4	Endothelial.cells
KRT14	Malignant.cells
KRT15	Malignant.cells
KRT16	Malignant.cells
KRT17	Malignant.cells
KRT18	Malignant.cells
KRT19	Malignant.cells
KRT19P2	Dendritic.cells
KRT5	Malignant.cells
KRT6A	Malignant.cells
KRT6B	Malignant.cells
KRT6C	Malignant.cells
KRT7	Malignant.cells
KRT8	Malignant.cells
KRTCAP3	Malignant.cells
KYNU	Dendritic.cells
LAD1	Dendritic.cells
LAG3	T.cells.CD8
LAIR1	Macrophages
LAMA3	Malignant.cells
LAMA4	Endothelial.cells
LAMB1	Endothelial.cells
LAMB2	CAFs
LAMB3	Malignant.cells
LAMC2	Malignant.cells
LAMP3	Dendritic.cells
LAP3	Macrophages
LAPTM5	Mast.cells
LARP4	B.cells
LAS1L	Malignant.cells
LAT	Mast.cells
LAT2	Mast.cells
LAX1	B.cells
LBH	CAFs
LBR	T.cells.CD8
LCK	T.cells.CD8
LCORL	B.cells
LCP1	T.cells.CD8
LCP2	T.cells.CD8
LDB2	Endothelial.cells
LDLRAD2	Endothelial.cells
LDOC1	CAFs
LEF1	T.cells.CD4
LEO1	Mast.cells
LEPR	CAFs
LEPREL1	Malignant.cells
LEPROTL1	T.cells.CD4
LETMD1	Myocytes
LFNG	Macrophages
LGALS2	Dendritic.cells
LGALS3BP	CAFs
LGALS7	Malignant.cells
LGALS7B	Malignant.cells
LGALS8	Mast.cells
LGALS9	Dendritic.cells
LGMN	Macrophages
LHFP	CAFs
LHFPL2	Macrophages
LHPP	Mast.cells
LIF	Mast.cells
LILRA2	Macrophages
LILRA3	Macrophages
LILRA5	Macrophages
LILRB1	B.cells
LILRB2	Macrophages
LILRB3	Macrophages
LILRB4	Macrophages
LILRB5	Macrophages
LIMA1	Malignant.cells
LIMCH1	Myocytes
LIMD2	T.cells.CD4
LIME1	B.cells
LIMK2	Myocytes
LIMS2	Endothelial.cells
LIN54	B.cells
LINC00338	T.cells.CD8
LINC00641	Dendritic.cells
LINC00649	T.cells.CD4
LINC00673	Malignant.cells
LIPA	Macrophages
LMAN2L	Malignant.cells
LMBR1	Endothelial.cells
LMBR1L	Dendritic.cells
LMCD1	Endothelial.cells
LMO4	Mast.cells
LMO7	Myocytes
LMOD1	CAFs
LMOD3	Myocytes
LOC100127983	CAFs
LOC100129034	Mast.cells
LOC100129361	Dendritic.cells
LOC100130476	Mast.cells
LOC100131564	Mast.cells
LOC100133445	Mast.cells
LOC100288069	Mast.cells
LOC100288778	T.cells.CD8
LOC100289511	Dendritic.cells
LOC100505495	Endothelial.cells
LOC100506710	Myocytes
LOC100507173	T.cells.CD4
LOC100507217	T.cells.CD4
LOC100507463	T.cells.CD4
LOC148413	Dendritic.cells
LOC154761	Endothelial.cells
LOC283710	B.cells
LOC338758	Macrophages
LOC339524	Mast.cells
LOC388796	Endothelial.cells
LOC389641	Mast.cells
LOC400027	Endothelial.cells
LOC440288	Myocytes
LOC440434	Myocytes
LOC441081	Macrophages
LOC595101	T.cells.CD8
LOC645638	Dendritic.cells
LOC646329	B.cells
LOC653513	Myocytes
LOC654433	Malignant.cells
LOC728554	Malignant.cells
LOC90834	T.cells.CD8
LOH12CR2	T.cells.CD8
LONP2	Dendritic.cells
LOXL2	Endothelial.cells
LPAR1	CAFs
LPAR6	Macrophages
LPCAT1	Macrophages
LPCAT2	Mast.cells
LPIN1	B.cells
LPIN2	Dendritic.cells
LPXN	T.cells.CD8
LRCH1	Endothelial.cells
LRCH3	Dendritic.cells
LRG1	Endothelial.cells
LRIF1	B.cells
LRMP	T.cells.CD8
LRP1	CAFs
LRP10	B.cells
LRRC16A	B.cells
LRRC25	Macrophages
LRRC32	CAFs
LRRC42	Malignant.cells
LRRC70	Endothelial.cells
LRRC8A	Endothelial.cells
LRRC8C	T.cells.CD8
LRSAM1	Dendritic.cells
LSM10	B.cells
LSP1	Dendritic.cells
LSS	B.cells
LST1	Macrophages
LTA4H	Macrophages
LTB	T.cells.CD4
LTBP1	CAFs
LTBP2	CAFs
LTBP4	CAFs
LTC4S	Mast.cells
LTN1	B.cells
LTV1	Macrophages
LUM	CAFs
LUST	B.cells
LUZP1	Endothelial.cells
LXN	Endothelial.cells
LY6D	Malignant.cells
LY6K	Malignant.cells
LY75	Dendritic.cells
LY86	Macrophages
LY9	B.cells
LY96	B.cells
LYN	Macrophages
LYPD3	Malignant.cells
LYRM1	Myocytes
LYRM2	Myocytes
LYRM5	Mast.cells
LYRM7	T.cells.CD4
LYSMD3	Mast.cells
LYST	T.cells.CD8
LYZ	Macrophages
LZTR1	Macrophages
MAB21L3	Myocytes
MAD2L1	Malignant.cells
MAD2L1BP	Malignant.cells
MAFB	Macrophages
MAGEA4	Malignant.cells
MAGEA6	Malignant.cells
MAGED1	B.cells
MAGEH1	B.cells
MAGI2.AS3	CAFs
MAL2	Malignant.cells
MALL	Endothelial.cells
MALSU1	Malignant.cells
MAN2B1	Macrophages
MANBA	Mast.cells
MANBAL	Malignant.cells
MANEA	B.cells
MANF	B.cells
MAOB	Mast.cells
MAP1B	CAFs
MAP1LC3A	Endothelial.cells
MAP2K1	Macrophages
MAP2K2	B.cells
MAP3K1	Dendritic.cells
MAP3K11	Endothelial.cells
MAP3K13	Dendritic.cells
MAP3K14	Dendritic.cells
MAP3K2	T.cells.CD8
MAP3K9	B.cells
MAP4K1	T.cells.CD8
MAP4K4	Dendritic.cells
MAP7D3	CAFs
MAPK1	Mast.cells
MAPK6	Mast.cells
MAPK8	Dendritic.cells
MAPKAPK3	Myocytes
MAPT	Myocytes
MARCKS	Dendritic.cells
MARCKSL1	Dendritic.cells
MASTL	T.cells.CD4
MAU2	B.cells
MB	Myocytes
MBD4	B.cells
MBOAT2	Dendritic.cells
MBOAT7	Mast.cells
MCAM	CAFs
MCAT	Endothelial.cells
MCEE	B.cells
MCM2	Malignant.cells
MCM3	Endothelial.cells
MCM4	Malignant.cells
MCM5	Dendritic.cells
MCM7	Myocytes
MCOLN1	Macrophages
MCOLN2	Dendritic.cells
MCPH1	Dendritic.cells
MCTP1	Endothelial.cells
MCTP2	Mast.cells
MCTS1	Dendritic.cells
MCU	Myocytes
ME1	Macrophages
ME2	Macrophages
ME3	Endothelial.cells
MEAF6	T.cells.CD8
MECOM	Endothelial.cells
MED13	Mast.cells
MED18	T.cells.CD4
MED21	Myocytes
MED27	Mast.cells
MED30	Malignant.cells
MED6	B.cells
MEDAG	CAFs
MEF2C	Myocytes
MEFV	T.cells.CD4
MEG3	CAFs
MEI1	B.cells
MEIS1	CAFs
MEOX1	Endothelial.cells
MERTK	Macrophages
MEST	Malignant.cells
METRNL	Macrophages
METTL1	B.cells
METTL10	Dendritic.cells
METTL14	Mast.cells
METTL15	Dendritic.cells
METTL16	Myocytes
METTL23	Myocytes
METTL7A	B.cells
METTL7B	Myocytes
MFAP2	Malignant.cells
MFAP4	CAFs
MFGE8	CAFs
MFN2	Myocytes
MFNG	T.cells.CD4
MFSD1	Macrophages
MFSD10	T.cells.CD8
MFSD2A	Macrophages
MFSD3	Malignant.cells
MFSD5	Dendritic.cells
MGAT2	B.cells
MGAT4A	T.cells.CD4
MGC27345	Myocytes
MGLL	Endothelial.cells
MGMT	B.cells
MGP	CAFs
MGRN1	Dendritic.cells
MGST2	Endothelial.cells
MIA3	Macrophages
MIAT	B.cells
MICA	Endothelial.cells
MICAL1	T.cells.CD4
MICAL3	Myocytes
MICU1	Myocytes
MID1	Endothelial.cells
MIF4GD	Macrophages
MIIP	Mast.cells
MILR1	Macrophages
MINK1	Dendritic.cells
MIR100HG	CAFs
MIR205HG	Malignant.cells
MIR3690	Macrophages
MIR5047	Mast.cells
MITF	Mast.cells
MKL1	Endothelial.cells
MKL2	Endothelial.cells
MKNK1	Macrophages
MKNK2	B.cells
MKRN2	Myocytes
MLH1	Myocytes
MLIP	Myocytes
MLKL	Endothelial.cells
MLLT11	Myocytes
MLPH	Mast.cells
MLST8	Macrophages
MMD	Dendritic.cells
MMGT1	B.cells
MMP1	Malignant.cells
MMP11	Myocytes
MMP19	Macrophages
MMP2	CAFs
MMP28	Endothelial.cells
MMP3	Malignant.cells
MMRN1	Endothelial.cells
MMRN2	Endothelial.cells
MMS19	Macrophages
