Gene Symbol	B cells	T cells CD8	T cells CD4	Macrophages	Dendritic cells	Mast cells	Myocytes	CAFs	Endothelial cells	Malignant cells
ARL5A	1.00	1.00	1.00	58.02	1.00	1.00	15.02	1.00	1.00	1.00
ARL5B	1.00	1.00	1.00	32.32	1.00	52.16	1.00	1.00	1.00	1.00
ARL6IP6	1.00	1.00	1.00	23.24	246.02	1.00	1.00	1.00	1.00	53.99
ARMC5	1.00	1.00	1.00	1.00	69.23	1.00	1.00	1.00	171.35	1.00
ARMC6	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	94.06	26.88
ARMC8	68.66	1.00	1.00	112.13	1.00	148.21	1.00	1.00	53.15	51.75
ARNT	1.00	1.00	1.00	1.00	1.00	61.85	69.86	55.56	1.00	19.17
ARPC5L	76.29	247.33	1.00	60.69	127.27	1.00	1.00	1.00	199.85	165.92
ARPP21	1.00	1.00	1.00	1.00	1.00	1.00	46.95	1.00	1.00	1.00
ARRB2	1.00	70.90	1.00	228.91	125.62	38.22	1.00	1.00	1.00	1.00
ARRDC1	1.00	149.55	1.00	38.16	136.55	1.00	1.00	1.00	26.72	104.94
ARSA	234.24	1.00	1.00	82.39	28.06	49.86	20.23	1.00	16.53	17.71
ARSB	1.00	1.00	1.00	40.77	11.47	1.00	1.00	1.00	1.00	1.00
ASAH1	69.57	1.00	1.00	542.38	1.00	569.76	48.83	148.74	60.15	1.00
ASAP1	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	63.71	1.00
ASAP3	1.00	1.00	1.00	1.00	1.00	1.00	119.06	1.00	1.00	1.00
ASB5	1.00	1.00	1.00	1.00	1.00	1.00	67.26	1.00	1.00	1.00
ASB8	1.00	1.00	1.00	1.00	1.00	74.37	259.23	48.89	1.00	23.23
ASB9	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	128.87	1.00
ASCC2	1.00	1.00	1.00	257.07	2.01	103.24	1.00	71.36	1.00	86.50
ASF1A	1.00	1.00	1.00	1.00	1.00	102.91	1.00	1.00	1.00	25.25
ASF1B	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	57.22
ASH2L	1.00	1.00	1.00	1.00	1.00	1.00	162.74	1.00	83.07	1.00
ASNA1	1.00	172.26	1.00	47.22	318.26	33.55	1.00	96.13	130.47	390.25
ASPN	1.00	1.00	1.00	1.00	1.00	1.00	1.00	146.02	1.00	1.00
ASRGL1	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	70.04	1.00
ATF2	1.00	1.00	1.00	15.00	67.69	75.35	1.00	52.54	1.00	1.00
ATF3	514.87	1.00	1.00	303.40	566.31	1.00	1.00	654.73	218.00	300.03
ATF5	72.72	1.00	1.00	1.00	16.53	1.00	1.00	1.00	1.00	1.00
ATG16L2	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	87.16	1.00
ATG4A	71.79	1.00	1.00	1.00	1.00	1.00	1.00	1.00	126.76	1.00
ATG5	68.58	1.00	1.00	1.00	28.98	1.00	1.00	1.00	1.00	47.01
ATG9A	1.00	1.00	1.00	1.00	48.32	1.00	32.55	1.00	1.00	58.32
ATHL1	68.26	1.00	87.40	1.00	1.00	1.00	1.00	1.00	1.00	1.00
ATL2	1.00	1.00	1.00	53.40	1.00	1.00	105.29	1.00	1.00	54.83
ATP11C	1.00	1.00	1.00	1.00	36.98	1.00	1.00	1.00	1.00	1.00
ATP13A1	128.51	1.00	1.00	53.26	1.00	1.00	12.63	1.00	54.14	1.00
ATP13A2	1.00	1.00	1.00	84.96	1.00	1.00	1.00	1.00	1.00	1.00
ATP1A2	1.00	1.00	1.00	1.00	1.00	1.00	132.90	1.00	1.00	1.00
ATP1A4	1.00	1.00	1.00	1.00	1.00	42.97	1.00	1.00	1.00	1.00
ATP1B1	63.90	1.00	1.00	31.13	14.52	52.32	227.66	1.00	1.00	163.03
ATP2A1	1.00	1.00	1.00	1.00	1.00	1.00	192.81	1.00	1.00	1.00
ATP2A3	65.48	119.88	113.15	1.00	1.00	1.00	1.00	1.00	1.00	1.00
ATP5EP2	1.00	1.00	1.00	9.44	30.08	1.00	1.00	1.00	1.00	23.03
ATP6V0A2	1.00	1.00	1.00	1.00	1.00	69.59	1.00	1.00	1.00	1.00
ATP6V1B2	1.00	1.00	1.00	380.43	238.86	1.00	104.26	164.51	111.30	61.53
ATP6V1H	1.00	1.00	1.00	42.01	140.26	1.00	1.00	1.00	17.98	100.52
ATP8B4	1.00	1.00	1.00	1.00	1.00	37.93	1.00	1.00	1.00	1.00
ATPAF2	1.00	1.00	1.00	108.80	1.00	1.00	22.02	1.00	1.00	35.11
