Genes	cell_type
IL12RB2	NK
IL13RA1	Neu
IL17RB	M2
IL18	M1
IL18BP	cancer
IL18R1	NK
IL18RAP	NK
IL1A	Mono
IL1R2	Neu
IL1RN	M2
IL23A	CD4
IL27RA	NK
IL32	CD8
IL6	B
IL6R	Neu
IL7R	CD4
INF2	cancer
INPP5J	cancer
INSL3	Neu
IPCEF1	CD4
IQCE	cancer
IQSEC2	cancer
IRAK3	Mono
IRF5	Mono
IRF8	B
IRGQ	cancer
IRS1	B
ISM1	CD4
ITGA1	CD8
ITGA2B	Mono
ITGA3	M0
ITGA6	CD4
ITGAE	M2
ITGB5	M0
ITGB7	CD8
ITGB8	M1
ITK	CD4
ITM2A	CD4
ITPKC	B
ITPR1	B
ITPR3	CD8
ITPRIPL1	NK
ITSN1	M0
JAG1	cancer
JAK3	Neu
JAKMIP1	CD8
JAKMIP2	M0
JAM3	B
JDP2	Mono
JUP	cancer
KCNA3	CD4
KCNE1	M2
KCNE3	Mono
KCNF1	M0
KCNG1	B
KCNH3	Mono
KCNJ15	Neu
KCNJ2	Neu
KCNJ5	M0
KCNK13	M2
KCNMB1	Mono
KCNN4	M1
KCNQ5	B
KCTD12	Mono
KCTD15	M2
KHDRBS2	B
KIAA0513	Mono
KIAA1210	M0
KIAA1324	Neu
KIAA1671	CD8
KIF13A	Neu
KIF19	NK
KIF21B	Neu
KIF4A	M0
KIF5C	CD8
KIFC3	M0
KIR2DL3	NK
KIR3DL1	NK
KIR3DX1	NK
KITLG	cancer
KLF12	CD4
KLF8	B
KLHDC4	NK
KLHL6	M0
KLK4	M0
KLRB1	NK
KLRC1	NK
KLRC2	NK
KLRC3	NK
KLRC4	NK
KLRD1	NK
KLRF1	NK
KLRG1	CD8
KLRK1	NK
KMO	M1
KRT2	NK
KRT23	Neu
KRT3	M2
KRT4	M2
KRT78	M2
KRT86	NK
KYNU	M1
L3MBTL4	NK
LAG3	CD8
LAMA5	cancer
LAMB2	cancer
LAMB3	cancer
LAMC1	M2
LAT2	NK
LAX1	NK
LBH	CD8
LBX2	NK
LCK	CD8
LDHAL6B	M2
LDHB	cancer
LDHD	M0
LDLRAD3	Mono
LDOC1	cancer
LEF1	CD4
LGALS2	Mono
LGALSL	M0
LGR6	NK
LHFPL2	cancer
LILRA1	Mono
LILRA2	M2
LILRA6	Mono
LILRB2	Mono
LILRB3	Neu
LIM2	NK
LIMD1	B
LIN37	Neu
LIN7A	Neu
LINGO1	M2
LINGO2	NK
LMBR1L	B
LMNA	cancer
LMO2	M2
LONRF3	M2
LOXL3	cancer
LPAR3	CD8
LPCAT2	Neu
LPL	M2
LRFN2	NK
LRFN4	M2
LRG1	Neu
LRIG1	cancer
LRP1	Mono
LRP3	M0
LRRC25	Neu
LRRC32	cancer
LRRC4	Neu
LRRK1	Mono
LRRK2	Neu
LRRN3	CD4
LRTOMT	cancer
LSR	cancer
LTA	CD4
LTC4S	cancer
LY6G6C	Neu
LY86	M0
LY9	B
LY96	M0
LYL1	Mono
LYN	Neu
LYNX1	cancer
LYPD2	Mono
LYPD6B	B
LYZ	Mono
MAB21L3	Neu
MADD	M1
MAF	M2
MAF1	B
MAFB	Mono
MAFK	cancer
MAGEE1	CD8
MAL	CD4
MAML1	Neu
MAN1C1	CD4
MANEAL	M2
MANSC1	Neu
MAOA	M2
MAP2	B
MAP3K9	B
MAP4K1	CD8
MAP4K2	B
MAP4K4	Neu
MAP9	B
MARC1	M2
MARCH1	Mono
MARCH9	B
MARCKS	M1
MARCO	M1
MARS	Neu
MARVELD1	Mono
MATK	NK
MATN1	B
MB21D2	CD4
MBNL2	cancer
MBNL3	B
MCF2L	cancer
MCOLN3	M0
ME1	M0
ME3	M2
MEF2C	B
MEFV	Neu
MEN1	cancer
MEOX1	CD4
MEPCE	NK
MERTK	M0
METTL1	M1
METTL7B	M2
MFHAS1	M0
MFSD2A	Mono
MGAM	Neu
MGAT1	M2
MGAT3	M2
MGAT4B	cancer
MIA2	Neu
MIB2	NK
MICAL2	Neu
MID2	M2
MIP	M0
MITF	M0
MKKS	M2
MLF2	cancer
MLLT3	CD4
MLPH	cancer
MLST8	cancer
MMD	B
MME	Neu
MMP1	M1
MMP17	B
MMP23B	NK
MMP25	Neu
MMP7	M1
MMP8	M2
MMP9	M1
MOB3B	B
MOGAT1	M2
MORC4	CD4
MPEG1	Mono
MPHOSPH6	Mono
MPO	Mono
MRAS	M2
MRC1	M2
MRGPRF	M2
MRPL11	cancer
MRTO4	M1
MS4A1	B
MS4A14	Mono
MS4A3	Neu
MS4A4A	M0
MS4A6A	Mono
MS4A7	Mono
MSANTD3	M1
MSC	M1
MSI2	B
MSR1	M0
MT1E	M2
MT1G	M1
MT1H	M1
MT1M	M1
MT1X	M1
MTCH1	B
MTFP1	CD8
MTG1	cancer
MTHFD1	M1
MTMR11	Mono
MTMR14	B
MTSS1	B
MTUS1	cancer
MUC4	M2
MVD	NK
MYB	CD4
MYBBP1A	CD4
MYBL1	NK
MYBPC3	cancer
MYC	CD4
MYCL	Mono
MYLK	M1
MYO1A	Mono
MYO1G	CD8
MYO7A	M1
MYO7B	Neu
MYOF	cancer
MYOZ1	M2
MZB1	B
N4BP3	B
NAA40	NK
NABP2	cancer
NACC1	M0
NAP1L2	CD8
NAP1L3	CD4
NCALD	NK
NCAM1	NK
NCAPD2	NK
NCAPH	M2
NCF2	Neu
NCF4	Neu
NCK2	CD8
NCKAP1	M0
NCLN	M2
NCR1	NK
NCS1	M1
NDFIP2	M2
NDP	M1
NDUFAF4	M1
NDUFS8	cancer
NEBL	Neu
NECAB2	Neu
NEDD4L	cancer
NEFH	M1
NEK3	Mono
NELL2	CD4
NENF	M0
NEO1	NK
NES	M0
NETO1	B
NETO2	M1
NFAM1	Neu
NFATC2	NK
NFE2	Neu
NFKB2	Mono
NFKBIB	NK
NID1	Mono
NINL	M2
NIPAL1	M2
NIPAL2	B
NIPSNAP1	cancer
NKAPL	Neu
NKG7	NK
NLRC4	M0
NLRP1	Neu
NLRP12	Neu
NLRP6	Neu
NME8	NK
NMUR1	NK
NOC3L	B
NOL9	CD4
NOP10	M2
NOS3	cancer
NPDC1	cancer
NPEPL1	Mono
NPFF	Mono
NPHP1	M0
NPR1	M2
NPRL2	NK
NPTXR	NK
NQO1	M1
NR1H3	M1
NR2F6	cancer
NR3C2	CD4
NR4A1	Mono
NR4A3	M2
NRG1	Mono
NRL	B
NRP2	M1
NSFL1C	cancer
NUMA1	cancer
NUPR1	cancer
OAF	cancer
OBSL1	cancer
OCSTAMP	M2
OLIG1	Mono
OLR1	Mono
OPHN1	M0
OPN3	M2
OR52K2	Neu
OR52W1	Mono
ORAI2	Neu
OS9	cancer
OSBPL10	B
OSBPL1A	M2
OSBPL5	NK
OSM	Mono
OSR1	cancer
OTOA	M0
OVOL1	M2
OXER1	M0
P2RX1	Neu
P2RX4	Mono
P2RX5	B
P2RY1	M2
P2RY10	B
P2RY11	NK
P2RY12	M2
P2RY13	Neu
P2RY2	Mono
P4HB	cancer
PACS2	cancer
PADI2	Neu
PADI4	Neu
PAK2	cancer
PALLD	M2
PANX2	Neu
PAOX	CD8
PAPLN	M0
PAQR5	M0
PARM1	B
PARVB	M1
PAWR	B
PAX5	B
PAX8	M1
PC	M0
PCBD1	M0
PCDH1	NK
PCDH9	B
PCDHGB6	NK
PCK2	M0
PCNA	cancer
PCOLCE2	M2
PCSK5	NK
PDCD1LG2	M1
PDE4B	Mono
PDE6A	cancer
PDGFC	Mono
PDGFRA	M1
PDGFRB	cancer
PDIA5	cancer
PDK4	Mono
PDLIM4	cancer
PDLIM7	Neu
PDXP	M1
PDZRN4	M2
PEG10	B
PENK	M2
PEPD	cancer
PERP	cancer
PES1	cancer
PF4	Mono
PFKFB4	Neu
PFN2	cancer
PGBD5	M0
PGLYRP1	Neu
PHACTR1	Mono
PHC3	Neu
PHKG1	B
PHLDA2	cancer
PHLDA3	M2
PHLDB2	NK
PHLPP2	cancer
PHOSPHO1	Neu
PI16	CD8
PID1	Mono
PIEZO1	CD8
PIGX	Neu
PIK3AP1	B
PILRB	cancer
PIR	M2
PITPNM2	NK
PJA1	M1
PKD2L1	M0
PKHD1L1	B
PKIB	M2
PLA2G15	M0
PLA2G4A	M1
PLA2G7	M2
PLAC8	CD4
PLAU	M0
PLBD1	M2
PLCH2	NK
PLCL1	CD4
PLD1	M1
PLD4	B
PLEK2	cancer
PLEKHA1	CD4
PLEKHA5	cancer
PLEKHA6	cancer
PLEKHB1	cancer
PLEKHF1	NK
PLEKHG1	B
PLEKHG4	CD4
PLTP	cancer
PLXDC1	CD4
PLXNA1	M1
PLXNB2	Mono
PNMA3	CD4
PNOC	B
PNPLA3	M2
POLL	CD4
POP7	NK
POU2AF1	B
