gene	Maha-Pt2	Maha-Pt27	Maha-Pt28	Maha-Pt30	Maha-Pt31	Maha-Pt37	Maha-Pt42	Maha-Pt47	Maha-Pt57	Maha-Pt61	Maha-Pt71	Maha-Pt76	Maha-Pt85	Maha-Pt86	Maha-Pt87	Maha-Pt9	Maha-Pt90
ABCF2	45.241727	25.561671	31.41378	71.815125	64.086112	33.789549	40.389914	62.533072	27.669333	58.201216	57.164054	48.331924	37.382506	33.299253	21.545091	37.742185	26.756385
ABCF3	90.49993	70.803016	23.083969	33.167143	42.116692	63.347935	162.347334	43.534846	34.685258	60.176273	76.581543	47.396342	35.034593	25.385232	31.393386	41.289984	52.153261
ABCG1	1.440293	11.815928	20.305188	4.799507	15.993424	14.632013	5.062795	7.279452	15.8498	8.441805	8.126414	5.732588	12.347966	8.39686	17.203884	3.066163	20.535262
ABCG2	0.040012	0	0.746327	0.066992	0	0.41406	0.688862	0.059587	0.047013	0	0.13212	0.419015	0	0.060112	1.455465	0.665473	0.89732
ABCG4	0.102891	0.032229	0.053394	0	0.429621	0.266373	0.177218	0.129304	0.09327	0	0.088168	0.088239	0.036891	0.183526	0.127835	0.015912	0.0268
ABCG5	0	0	0.038288	0.022484	0	0.043916	0.68216	0.013328	0.004511	0	0	0.023093	0.00998	0.115539	0.10253	0.012748	0.013468
ABCG8	0.009815	0.019049	0.032232	0.064683	0.048851	0	0.392561	0.013641	0.014572	0.011573	0.026227	0.064158	0.01955	0.059927	0.09323	0.020176	0.074751
ABHD1	0.672586	0.187625	0	0.030504	0.211345	0.524448	0.942699	0.114941	0.459505	0	0.087456	0.019924	0.486844	0.187817	0.184284	0.140728	2.595336
ABHD10	12.993765	28.621537	11.462334	21.560197	26.486161	39.20701	12.742907	23.670001	11.832014	24.297663	35.056794	20.304928	17.872407	24.108061	14.433919	26.359304	36.422299
ABHD11	60.556526	18.447811	10.516585	25.016471	7.901301	13.227741	38.383149	33.864219	8.483831	20.33615	14.422896	28.003644	16.927561	11.116659	30.58032	29.14745	25.227124
ABHD12	75.503918	110.729203	140.174152	111.504633	112.102551	124.110942	250.81817	114.185918	102.831936	189.725243	56.415879	120.530551	83.318977	163.762561	94.313434	110.255576	142.464958
ABHD12B	1.022816	0.483084	0.308218	0.462067	1.10755	0.94992	0.792342	0.643173	0.209822	1.628396	0.210871	1.442969	0.898242	0.514555	2.243296	0.656792	1.31873
ABHD14A	1.151502	0.166487	0.092676	0.985895	0.357192	0.098179	0.444566	0.170579	0.204065	0	0.345286	0.340544	0.134895	0.511409	0.150677	0.538701	0.210982
ABHD14B	7.787963	2.51855	1.732237	5.377091	3.071094	3.166538	2.545914	3.044398	1.707553	3.265973	3.160364	4.734368	1.997962	2.027203	2.395155	4.10493	6.324638
ABHD16A	34.018037	7.527542	8.683599	5.566726	4.659632	16.618912	19.943137	15.661238	9.283509	18.649543	5.320246	9.466957	9.647303	15.574033	12.4627	6.595079	19.278017
ABHD16B	0	0	0	0	0.020404	0	0	0	0.016035	0.021435	0	0.021671	0	0	0	0	0
ABHD17A	8.789039	9.250918	4.976025	5.420215	12.445452	19.795698	11.317121	12.991227	9.85492	4.15285	14.984571	9.345504	12.140986	8.240456	11.311515	11.594298	11.710909
ABHD17B	6.92451	2.474435	4.883656	9.942676	7.122688	7.067128	7.980545	4.866602	4.804831	9.93463	5.821499	5.985879	4.124323	7.180976	7.60513	11.316733	6.135784
ABHD17C	8.626126	15.727028	27.064671	10.784072	3.459337	2.895595	10.230188	9.442021	6.161352	0.755762	3.394521	22.259612	30.454494	13.787967	11.898188	1.179207	12.827774
ABHD2	82.000994	110.512452	126.593889	84.95055	81.120846	57.236372	44.905802	73.12092	53.821408	105.764093	48.307942	101.153139	96.055177	126.303591	160.847084	45.565075	58.680594
ABHD3	8.705751	13.512426	15.162431	27.607928	7.15895	10.020731	18.365188	10.371533	7.7368	19.945033	9.298214	11.804563	6.890863	12.683847	13.00567	10.777032	18.153269
ABHD4	48.005407	24.238123	35.872601	33.131816	20.376636	28.20376	15.063805	20.145408	12.631844	34.516547	18.538602	45.226597	25.557999	23.692093	64.840886	12.829013	14.349511
ABHD5	23.068123	17.798676	32.062852	22.539348	28.463475	14.490186	18.319232	33.266628	17.588556	33.067193	18.361598	32.845881	21.28105	17.332624	25.201351	16.51864	25.080944
ABHD6	1.23927	1.529109	3.127805	1.044936	4.852513	7.522406	2.852814	3.659182	2.51589	0.283933	3.463231	4.217126	2.155369	3.045994	3.415192	1.587035	1.467433
ABHD8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABI1	64.356799	47.319159	49.681155	57.551896	58.379174	75.657975	71.07631	68.347747	43.015373	85.288132	70.283385	98.162873	66.068879	62.818245	61.891233	67.036042	70.928614
ABI2	17.210889	29.278853	23.693884	21.657669	43.500402	49.272608	44.655395	40.007937	17.23498	28.909458	30.391077	33.0509	29.801104	49.97194	36.692803	27.54221	52.090378
ABI3	0.143727	0.18482	0	0	0.077627	0.921116	0.088213	0.395862	0.723075	0.38331	0.117407	0.633199	0.313281	0.267016	1.145782	0.073462	0.224164
ABI3BP	6.106146	13.311046	208.82	116.656532	142.224841	1122.261386	3.056467	19.146935	21.751975	0.142287	36.84941	7.146911	96.795259	102.666934	213.582209	30.758132	191.45724
ABL1	23.045223	8.961738	10.857029	9.322009	19.261233	17.024256	13.948083	24.354679	12.11339	13.120861	10.841288	12.654256	17.694373	12.051426	16.944322	14.531698	23.598025
ABL2	47.459562	27.362785	17.80897	16.724561	31.683386	27.237515	22.014206	63.622663	19.993399	25.954277	43.90053	31.808332	21.928591	20.749491	22.243094	47.539045	40.078232
ABLIM1	375.99201	40.609785	65.104889	21.577902	34.733164	55.586109	134.609888	67.118849	33.517457	14.760535	19.771077	62.253626	39.485591	44.596679	82.039723	63.785543	8.837535
ABLIM2	5.561489	1.634253	4.437465	0.792399	0.719087	6.798586	2.519112	1.430643	5.747758	2.118152	1.530856	2.27874	4.723049	8.442204	5.379999	2.884581	1.651096
ABLIM3	57.029229	82.49556	14.884118	15.898815	83.673216	53.288053	1.120865	15.31796	6.975085	3.007245	14.130319	8.306944	5.015041	6.070609	26.412574	6.280266	39.205797
ABO	29.297038	0.288739	3.13362	0.188967	0.920166	7.263596	0.159616	0.417387	8.389454	6.773218	1.163301	11.256604	10.236845	1.659942	1.031433	0.05527	1.094801
ABR	93.390863	119.188468	67.536431	126.350397	113.271723	105.763987	71.558143	224.74578	84.059329	113.666429	70.233431	80.334	109.13976	129.309811	150.317303	155.105331	146.555084
ABRACL	1.012094	1.954155	1.719885	0	1.437203	2.165063	1.438072	4.073557	1.990782	2.699241	1.629851	1.409422	0.909826	3.202736	2.928639	1.298261	0.767914
ABTB1	11.632349	5.503326	2.205813	3.646307	4.2602	9.518027	0.390767	6.351814	4.982024	7.466393	3.211688	2.207522	7.834959	5.7064	8.299884	2.956856	8.77273
ABTB2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACAA1	59.577564	21.483103	22.986868	24.486267	27.992097	36.872918	17.829172	26.629055	13.695709	22.585061	20.074471	43.449076	22.665338	18.328806	37.618645	19.432508	36.306284
ACAA2	5.415008	6.68629	20.417924	11.132136	19.041616	50.431165	16.38804	15.951868	9.921798	3.864096	7.8862	6.506972	14.508986	19.784412	13.553465	2.897074	19.440318
ACACA	423.729058	113.693519	161.353089	215.933641	86.756407	81.391016	272.441098	154.2337	90.597178	317.645894	89.893375	176.633774	123.48018	175.462757	131.142523	255.610841	616.564846
ACACB	43.039994	15.116055	6.776607	5.620328	19.435029	50.946094	52.805016	26.256195	18.770923	4.854843	5.851843	6.021713	21.616241	23.173432	49.30915	11.908517	156.063454
ACAD10	49.42876	27.880979	27.630749	15.875545	30.538292	29.1738	41.752732	28.183026	25.168678	42.788154	14.995872	24.490504	25.841269	33.966497	23.74782	24.801994	37.024259
ACAD11	18.265167	15.464673	29.519485	19.883904	19.789161	75.685264	34.099376	25.444646	15.808875	15.954137	15.772718	20.134729	25.408501	50.138486	21.657297	20.055741	41.616117
ACAD8	35.5201	20.149171	19.557899	22.914777	26.849134	32.2446	19.718648	45.760233	27.576795	83.396243	31.042237	41.105166	66.131447	24.14079	24.887571	50.543544	21.926827
ACAD9	66.111978	51.189483	10.81247	25.716466	44.564828	48.88081	79.466872	60.650296	25.207929	56.917491	55.083261	55.752425	55.420552	39.540893	32.427435	65.320503	66.659479
ACADL	18.390222	0.192989	1.547085	0.849875	1.025818	11.806507	0.189394	0	0	0	0.09327	0.244841	0.458475	1.506766	2.355997	0.412048	0.271226
ACADM	279.427569	76.992668	107.627741	82.582909	78.905037	163.024702	47.609334	117.465277	63.259483	187.536355	95.295782	91.989593	75.376654	171.615349	97.632577	110.384758	88.640247
ACADS	7.934578	2.444273	2.754924	0.04635	3.83427	3.175864	3.507323	2.436911	1.830994	2.036936	1.472701	2.914144	4.91967	8.30669	6.218049	0.484068	9.784926
ACADSB	116.996921	10.053866	81.505971	22.377069	30.626983	71.074383	55.89967	9.078112	19.899611	44.223799	29.919014	14.960839	50.882816	35.642353	33.575089	19.546929	132.515224
ACADVL	1278.478683	229.190093	183.19478	200.082855	279.098413	823.761126	325.733256	567.34672	234.807005	234.468311	404.576493	340.972176	470.417507	393.000165	627.4654	242.280249	548.444296
ACAN	1.279037	5.304233	3.833401	6.61764	2.002328	17.357925	2.407445	19.157251	3.240374	2.236097	2.015821	12.086735	5.233072	3.965548	9.609895	2.341795	1.385249
